vid,name,country
11813,Emiliano Buendía,Argentina
12020,Hernâni,Portugal
12021,Óliver Torres,Spain
12041,João Félix,Portugal
12063,Issam El Adoua,Morocco
12072,Pere Milla,Spain
12073,Pablo Hervías,Spain
12162,Victorien Angban,Côte d'Ivoire
12190,Patrick Twumasi,Ghana
12191,Gorka Elustondo,Spain
12192,Álvaro García,Spain
12194,Santi Comesaña,Spain
12349,Wilfried Zahibo,Central African Republic
12358,Haris Medunjanin,Bosnia and Herzegovina
12419,Lucas Torró,Spain
12509,Moussa Dembélé,France
12554,Serdar Gürler,Turkey
12555,Okay Yokuşlu,Turkey
12626,Emiliano Insúa,Argentina
12737,David Villa,Spain
12772,Víctor Vázquez,Spain
12789,Felipe Gutiérrez,Chile
13107,Sergio Álvarez,Spain
13108,Marc Cardona,Spain
13157,Ivan Marcano,Spain
13360,Quincy Promes,Netherlands
13437,Diego Váleri,Argentina
13456,Daniel Candeias,Portugal
13552,Borja Fernández,Spain
13581,Emilio Nsue,Equatorial Guinea
13597,Oriol Busquets,Spain
13599,Carles Aleñà,Spain
13614,Francesco Bardi,Italy
13620,Éder Militão,Brazil
13730,Matthieu Saunier,France
13791,Julen Guerrero,Spain
13811,José Amavisca,Spain
13817,José Francisco Molina,Spain
15071,Lilian Thuram,France
15074,Zinédine Zidane,France
15297,Mickaël Ciani,France
15381,Johann Vogel,Switzerland
15416,Jukka Raitala,Finland
15516,Thierry Henry,France
15526,Jon Dahl Tomasson,Denmark
15584,Iván Helguera,Spain
15601,Míchel Salgado,Spain
15602,Juan Carlos Valerón,Spain
15603,Agustín Aranzábal,Spain
15606,Joseba Etxeberria,Spain
15607,Raúl,Spain
15608,Ismael Urzaiz,Spain
15651,Juan Bernat,Spain
15656,Beto,Portugal
15661,David Beckham,England
15737,Sergio Lozano,Spain
15743,Henrik Larsson,Sweden
15774,Gianluca Zambrotta,Italy
15775,Fabio Cannavaro,Italy
15805,Hernán Santana,Spain
15867,Rui Fonte,Portugal
15880,Emiliano Rigoni,Argentina
15893,Víctor Rodríguez,Spain
15955,Goran Čaušić,Serbia
15959,Nenad Krstičić,Serbia
15960,Richmond Boakye,Ghana
15962,Marko Marin,Germany
16000,Ryan Donk,Suriname
16001,Garry Rodrigues,Cape Verde
16003,Fernando Reges,Brazil
16024,Roger Assalé,Côte d'Ivoire
16073,Aras Özbiliz,Armenia
16083,José Rodríguez,Spain
16093,Marc Fernández,Spain
16209,Raúl de Tomás,Spain
16210,Luca Sangalli,Spain
16212,Óscar Rodríguez,Spain
16249,Yangel Herrera,Venezuela (Bolivarian Republic)
16250,Cristian Lobato,Spain
16268,Efraín Juárez,Mexico
16298,Denis Vavro,Slovakia
16309,Joel Robles,Spain
16332,Ognjen Vranješ,Bosnia and Herzegovina
16335,Samuel Chukwueze,Nigeria
16337,Miguelón Llambrich,Spain
16338,Uche Agbo,Nigeria
16426,Wanderson Maciel Sousa Campos,Brazil
16441,Ryan Babel,Netherlands
16453,Gary Medel,Chile
16456,Enzo Roco,Chile
16478,Míchel,Spain
16489,Nemanja Gudelj,Serbia
16508,Denys Boyko,Ukraine
16538,İsmail Köybaşı,Turkey
16539,Diego Reyes,Mexico
16555,Joseph Aidoo,Ghana
16558,Alejandro Pozuelo,Spain
16567,Markus Rosenberg,Sweden
16604,Alain Nef,Switzerland
16622,Mikel González,Spain
16626,Jorge Larena,Spain
16688,Marcelo Silva,Uruguay
16718,Roland Lamah,Belgium
16723,Egor Filipenko,Belarus
17027,Sergi Guardiola,Spain
17054,Emiliano Velázquez,Uruguay
17083,Jonas,Brazil
17276,Seydou Doumbia,Côte d'Ivoire
17303,Nikola Vukčević,Montenegro
17304,Junior Firpo,Spain
17520,Federico Barba,Italy
17618,Carlos Akapo,Equatorial Guinea
17620,Marc Cucurella,Spain
17622,Jackson Martínez,Colombia
17726,Laurențiu Roșu,Romania
17730,Cosmin Contra,Romania
17797,Giovanni van Bronckhorst,Netherlands
17804,David Costas,Spain
17818,Rodri Tarín,Spain
18160,Iván Márquez,Spain
18163,Moses Simon,Nigeria
18164,Antoñito,Spain
18243,Ivan Cavaleiro,Portugal
18395,Vinícius Júnior,Brazil
18398,Omar Mascarell,Spain
18404,José Crespo,Spain
18407,José Alberto Cañas,Spain
18608,Dmytro Chygrynskiy,Ukraine
18616,Olarenwaju Kayode,Nigeria
18620,Sergio Reguilón,Spain
18721,Robert Ibáñez,Spain
18724,Sofiane Feghouli,Algeria
18783,Omenuke Mfulu,"Congo, (Kinshasa)"
18851,Stephan Andersen,Denmark
18867,Matías Nahuel,Spain
18882,Aleksandr Hleb,Belarus
18904,Matías Kranevitter,Argentina
18921,Joris Gnagnon,France
18925,Nacho Cases,Spain
18948,Hélder Barbosa,Portugal
19047,Fábio Coentrão,Portugal
19288,Martín Demichelis,Argentina
19294,Diego Milito,Argentina
19296,Mark van Bommel,Netherlands
19298,Samuel Eto'o,Cameroon
19311,David Trézéguet,France
19312,Robert Pirès,France
19331,Savo Milošević,Serbia
19346,Darko Kovačević,Serbia
19392,Juan Cámara,Spain
19396,Lluis Sastre,Spain
19431,Fernando Tissone,Argentina
19454,Ricardo Costa,Portugal
19577,Pedro Munitis,Spain
19579,Santiago Cañizares,Spain
19597,Marcos Acuña,Argentina
19668,Augusto Fernández,Argentina
19669,Nicolás Gaitán,Argentina
19677,Karim Benzema,France
19704,Gerard López,Spain
19724,Rafael van der Vaart,Netherlands
19728,Johnny Heitinga,Netherlands
19729,Ruud van Nistelrooy,Netherlands
19731,Tomáš Ujfaluši,Czech Republic
19757,Deco,Portugal
19758,Jorge Andrade,Portugal
19760,Maniche,Portugal
19761,Ricardo,Portugal
19765,Simão,Portugal
19767,Giorgios Seitaridis,Greece
19771,Angelos Basinas,Greece
19866,Maris Verpakovskis,Latvia
19888,Martin Petrov,Bulgaria
20001,Adrián Sardinero,Spain
20011,Hélder Postiga,Portugal
20014,Christoph Metzelder,Germany
20016,Pepe,Portugal
20023,Mehmet Aurélio,Turkey
20033,Luuk de Jong,Netherlands
20055,Marc-André ter Stegen,Germany
20062,Juanjo Narváez,Colombia
20063,Javi Ontiveros,Spain
20064,Miguel Lopes,Portugal
20070,Miguel Monteiro,Portugal
20073,Ebi Smolarek,Poland
20085,David Odonkor,Germany
20086,Stipe Pletikosa,Croatia
20088,Danijel Pranjić,Croatia
20101,Nihat Kahveci,Turkey
20124,Vicente Rodríguez,Spain
20125,Carles Puyol,Spain
20127,Carlos Marchena,Spain
20128,David Albelda,Spain
20129,Rubén Baraja,Spain
20130,Fernando Morientes,Spain
20131,Xavi,Spain
20132,Dani Güiza,Spain
20133,Xabi Alonso,Spain
20134,Joan Capdevila,Spain
20135,Marcos Senna,Spain
20136,Silvestre Varela,Portugal
20137,Nélson Oliveira,Portugal
20138,João Pereira,Portugal
20150,Christian Poulsen,Denmark
20169,Seydou Kéita,Mali
20176,Víctor Valdés,Spain
20177,Éric Abidal,France
20182,Vladimir Manchev,Bulgaria
20215,Álvaro Arbeloa,Spain
20253,Samir Nasri,France
20256,Grégory Coupet,France
20264,Fernando Meira,Portugal
20267,Khalid Boulahrouz,Netherlands
20269,Joris Mathijsen,Netherlands
20321,Fabio Celestini,Switzerland
20368,Alexander Kerzhakov,Russia
20494,Andreas Ivanschitz,Austria
20518,Albert Luque,Spain
20519,Juanito,Spain
20538,Alexandros Tziolis,Greece
20539,Loukas Vyntra,Greece
20540,Rubén de la Red,Spain
20542,Álvaro Negredo,Spain
20603,Stéphane Mbia,Cameroon
20669,Tiago,Portugal
20734,Sergio Akieme,Spain
20735,Miguel De la Fuente,Spain
20883,José Sosa,Argentina
21081,Juan Foyth,Argentina
21147,Borja Mayoral,Spain
21210,Mariano,Brazil
21225,Javier Sánchez,Spain
21229,Sergi Samper,Spain
21390,Andriy Lunin,Ukraine
21397,Stole Dimitrievski,"Macedonia, Republic of"
21399,Pablo Ínsua,Spain
21445,Javier Espinosa,Spain
21568,Royston Drenthe,Netherlands
21877,Nacho Monsalve,Spain
21881,Sergiño Dest,United States of America
22020,Joaquín Fernández,Spain
22029,Kevin Vázquez,Spain
22041,Marko Livaja,Croatia
22102,Adriano,Brazil
22107,Thierry Correia,Portugal
22128,Robin Le Normand,France
22129,Valery Fernández,Spain
22140,Domingos Quina,Portugal
22197,Juan Miranda,Spain
22199,Sergio Gómez,Spain
22235,Wilfrid Kaptoum,Cameroon
22287,Adrià Pedrosa,Spain
22321,Ander Barrenetxea,Spain
22332,Roberto Santamaría,Spain
22390,Francisco Trincão,Portugal
22418,Bryan Gil,Spain
22452,Ahien Muñoz,Spain
22740,Lee Kang-In,Korea (South)
22801,Roberto López,Spain
22811,Héctor Yuste,Spain
22819,Bruno Soriano,Spain
22915,Diego Lainez,Mexico
22919,Lluís López,Spain
23211,Víctor Mollejo,Spain
23212,Martín Merquelanz,Spain
23213,Enric Gallego,Spain
23218,Borja Lasso,Spain
23263,Lisandro Magallán,Argentina
23264,Paik Seung-Ho,Korea (South)
23307,Idrissa Doumbia,Côte d'Ivoire
23315,Yohan Mollo,France
23317,André Moreira,Portugal
23322,Javier Galán,Spain
23343,Wu Lei,China
23344,Aitor Fernández,Spain
23364,Sílvio,Portugal
23382,Mohamed Sissoko,Mali
23416,Stefan Šćepović,Serbia
23445,Ferro,Portugal
23451,Filipe Augusto,Brazil
23488,Mario Suárez,Spain
23492,Stiven Plaza,Ecuador
23522,Emerson Royal,Brazil
23561,Vasyl Kravets,Ukraine
23627,Jota,Portugal
23651,Ivan Obradović,Serbia
23677,Yassin Fékir,France
23747,Cristian Omar Espinoza,Argentina
23761,Lass Bangoura,Guinea
23785,Théo Bongonda Mbul'Ofeko Batombo,"Congo, (Kinshasa)"
23791,Víctor Casadesús,Spain
23792,Dani Toribio,Spain
23793,Carlos Bellvís,Spain
23795,Dani Jiménez,Spain
23796,Marco Sangalli,Spain
23799,Eddy Silvestre,Azerbaijan
23800,Laure,Spain
23802,Juan Muñoz,Spain
23803,Esteban Burgos,Argentina
23804,Jonathan Pereira,Spain
23805,Diego Caballo,Spain
23806,Álex Bergantiños,Spain
23807,Domingos Duarte,Portugal
23808,Quique,Spain
23811,Alberto Perea,Spain
23812,Rafa Mir,Spain
23815,Casto,Spain
23816,José Antonio Reyes,Spain
23821,Fausto Tienza,Spain
23825,Fidel,Spain
23833,Borja Viguera,Spain
23837,Álvaro Traver,Spain
23838,Pablo Pérez,Spain
23843,Diego Mariño,Spain
23848,Carlos Carmona,Spain
23849,Fran Villalba,Spain
23854,Juan Carlos,Spain
23855,Pape Maly Diamanka,Senegal
23865,Jérémy Perbet,France
23916,Luis García,Spain
23921,Juan Soriano,Spain
23924,Mamadou Sylla,Senegal
23929,Xisco Jiménez,Spain
23930,Ikechukwu Uche,Nigeria
23931,Fran Mérida,Spain
23933,Abdelaziz Barrada,Morocco
23934,Fali Jiménez,Spain
23936,Antonio Cotán,Spain
23940,Mikel Villanueva,Venezuela (Bolivarian Republic)
23942,Abraham Minero,Spain
23943,Rubén García,Spain
23944,Oier,Spain
23945,Iñigo Pérez,Spain
23946,Miguel Olavide,Spain
23947,Roberto Torres,Spain
23948,Carlos Clerc,Spain
23949,Unai García,Spain
23950,David García,Spain
23966,Mickaël Malsa,Martinique
23967,Álex,Spain
23970,José Mari,Spain
23971,Jairo Izquierdo,Spain
23972,José Matos,Spain
23973,Salvi,Spain
23974,Rober Correa,Spain
23975,Dejan Lekić,Serbia
23977,Edu Ramos,Spain
23978,Manu Vallejo,Spain
23981,Álvaro Tejero,Spain
23985,José Caro,Spain
23986,Aleix Febas,Spain
23987,Rey Manaj,Albania
23988,Federico Piovaccari,Italy
23991,De las Cuevas,Spain
23994,Álex Menéndez,Spain
23995,Jaime Romero,Spain
24034,Jorge Pombo,Spain
24035,Álvaro Vázquez,Spain
24037,Alberto Soro,Spain
24040,Cristian Álvarez,Argentina
24042,Javi Ros,Spain
24049,Luis Rioja,Spain
24052,Yan Eteki,Cameroon
24053,Álvaro Giménez,Spain
24055,Juan Carlos,Spain
24067,Abdón Prats,Spain
24068,Joselu,Spain
24069,Ibrahima Baldé,Senegal
24070,Saúl Berjón,Spain
24072,Salva Sevilla,Spain
24073,Sergio Tejera,Spain
24075,Bolaño,Spain
24078,Javier Muñoz,Spain
24079,Lago Junior,Côte d'Ivoire
24080,Toché,Spain
24083,Manolo Reina,Spain
24084,Martin Valjent,Slovakia
24085,Pervis Estupiñán,Ecuador
24086,Antonio Raillo,Spain
24087,Iddrisu Baba,Ghana
24088,Dani Rodríguez,Spain
24089,Joan Sastre,Spain
24091,Javi Acuña,Paraguay
24093,Luis Suárez,Colombia
24106,Jordan Lotiès,France
24126,Antonio Puertas,Spain
24127,Ramon Azeez,Nigeria
24132,Francisco Varela,Spain
24133,Víctor Díaz,Spain
24134,Germán Sánchez,Spain
24136,Fede Vico,Spain
24138,Quini,Spain
24139,Luso,Spain
24140,Rui Silva,Portugal
24141,Fede,Spain
24142,José Martínez,Spain
24143,Álvaro Vadillo,Spain
24144,Ángel Montoro,Spain
24145,Rodri,Spain
24147,Ernesto Galán,Spain
24149,Verza,Spain
24162,Xavi Torres,Spain
24165,Edgar Badía,Spain
24166,Nino,Spain
24169,Gonzalo Verdú,Spain
24172,Juan Cruz,Spain
24173,Carlos Castro,Spain
24175,Dani Calvo,Spain
24190,Javi Lara,Spain
24191,Alejandro Alfaro,Spain
24193,Chus Herrero,Spain
24194,Álex Carbonell,Spain
24211,Sergio Herrera,Spain
24212,Aridane Hernández,Spain
24234,Juan Domínguez,Spain
24236,Ander Guevara,Spain
24249,Juan Muñiz,Spain
24251,Tete Morente,Spain
24252,José Carlos Lazo,Spain
24253,José Carlos,Spain
24255,Juan Carlos,Spain
24258,Cristian Herrera,Spain
24263,Isma López,Spain
24264,Dani Hernández,Venezuela (Bolivarian Republic)
24266,Luis Pérez,Spain
24267,Uroš Račić,Serbia
24269,Marc Pedraza,Spain
24270,Filip Malbašić,Serbia
24272,Luis Milla,Spain
24273,Jorge Sáenz,Spain
24275,Miguel Palanca,Spain
24277,Vincenzo Renato Rennella,Italy
24313,Miguel Flaño,Spain
24315,Kike Barja,Spain
24318,Alberto Guitián,Spain
24322,Isaac Carcelén,Spain
24324,Adrián Ramos,Colombia
24391,Borja Galán,Spain
24453,Josip Radošević,Croatia
24504,Eugeni Valderrama,Spain
24505,Chuli,Spain
24506,Álvaro Arroyo,Spain
24507,Manu del Moral,Spain
24508,Lillo Castellano,Spain
24511,Branko Ilič,Slovenia
24517,Raúl Guti,Spain
24520,Alberto Zapater,Spain
24576,Fran Gámez,Spain
24577,Salva Ruiz,Spain
24578,Paco Montañés,Spain
24580,Jaime Gavilán,Spain
24593,Marcos Mauro,Argentina
24613,Alejandro Pozo,Spain
24614,Rafa,Spain
24616,Alfonso Espino,Uruguay
24617,Edu Campabadal,Spain
24631,Agus,Spain
24641,Dani Nieto,Spain
24681,Dani Escriche,Spain
24683,Diego Capel,Spain
24686,Roberto Canella,Spain
24704,Alberto Martín,Spain
24711,David Carmona,Spain
24712,Jon Garrido,Spain
24729,Xavi Quintillà,Spain
24730,Lucas Olaza,Uruguay
24738,Javi Díaz,Spain
24744,Juan Forlín,Argentina
24777,Waldo Rubio,Spain
24782,Jonhatan Montiel,Spain
24783,Javi Márquez,Spain
24797,Didier Domi,France
24811,Deivid,Spain
24841,Riqui Puig,Spain
24860,Héctor Rodas,Spain
24861,Andrei Ratiu,Romania
24872,Nauzet Pérez,Spain
24920,Churripi,Spain
24921,Martín Zubimendi,Spain
24948,Jordi Calavera,Spain
24949,Álex Collado,Spain
24976,Abel Ruiz,Spain
24995,Sergio Camello,Spain
25005,Álex Blanco,Spain
25006,Carles Pérez,Spain
25014,Juan Hernández,Spain
25022,Álex Martínez,Spain
25057,Álex Barrera,Spain
25061,Xisco Campos,Spain
25062,Juan Pérez,Spain
25090,Rafael Sóbis,Brazil
25104,Rodrygo,Brazil
25126,Nicolás López,Uruguay
25134,Deyverson,Brazil
25144,Diego Alves,Brazil
25145,Diego,Brazil
25199,Lucas Silva,Brazil
25254,Diego Tardelli,Brazil
25261,Pedro Geromel,Brazil
25274,Ricardo Oliveira,Brazil
25351,Alexandre Pato,Brazil
25358,Henrique,Brazil
25410,Andrés D'Alessandro,Argentina
25426,Marco Ruben,Argentina
25430,Felipe Melo,Brazil
25435,Elias,Brazil
25566,Luciano,Brazil
25591,Juan Rodríguez,Spain
25595,Miquel Parera,Spain
25598,Álvaro Fernández,Spain
25702,Carlos Neva,Spain
25704,Aarón Escandell,Spain
25706,Raúl Cámara,Spain
25707,Fran Rico,Spain
25723,Wellington Silva,Brazil
25764,Nenê,Brazil
25805,Jorge García,Spain
25824,Ángel Trujillo,Spain
25826,Juancho,Colombia
25831,Jean Marie Dongou,Cameroon
25848,César Arzo,Spain
25849,Aaron Níguez,Spain
25853,Ludovic Delporte,France
25854,Sylvinho,Brazil
25855,Paulo Wanchope,Costa Rica
25856,John Aloisi,Australia
25857,Paco Esteban,Spain
25858,Ricardo Sanzol,Spain
25859,Duda,Portugal
25860,Enrique Corrales,Spain
25861,Iñaki Muñoz,Spain
25862,Litos,Portugal
25863,Juliano Belletti,Brazil
25864,Mohamed El Yaagoubi,Morocco
25865,Josetxo,Spain
25866,Raúl Iznata,Spain
25867,César Cruchaga,Spain
25868,Fernando Sanz,Spain
25869,David López,Spain
25870,Juan Jesús Calatayud Sánchez,Spain
25871,José Izquierdo,Spain
25872,Valdo,Cape Verde
25873,Oleguer,Spain
25874,Patxi Puñal,Spain
25875,Miguel Ángel,Spain
25876,Pierre Webó,Cameroon
25877,Márcio Amoroso,Brazil
25878,Ludovic Giuly,France
25879,Ronaldinho,Brazil
25881,Juan Rodríguez,Spain
25882,Edgar Pacheco,Portugal
25883,Juanito,Spain
25884,Manu Sánchez,Spain
25885,Juanma,Spain
25886,Diego Camacho,Spain
25887,Alexis,Spain
25888,José Antonio Culebras,Spain
25889,Pablo Pinillos,Spain
25890,Jofre Mateu,Spain
25891,Juan Mora,Spain
25892,Nacho,Spain
25893,Alberto Rivera,Spain
25894,Iñaki Descarga,Spain
25895,Félix Dja Ettien,Côte d'Ivoire
25896,Damià,Spain
25897,Horacio Peralta,Uruguay
25898,Iván Díaz,Spain
25899,Gaspar Gálvez,Spain
25900,Paco Peña,Spain
25901,Raúl Valbuena,Spain
25902,Mingo,Spain
25903,Laurent Viaud,France
25904,Antonio Pacheco D'Agosti,Uruguay
25905,Santi,Spain
25906,Jaime,Spain
25907,Francisco Rodríguez,Spain
25908,Mark González,Chile
25909,Albert Celades,Spain
25910,Edmilson,Brazil
25911,Óscar González,Spain
25912,Ricardo,Spain
25913,Álvaro,Brazil
25914,Rafael Clavero,Spain
25915,Sávio,Brazil
25916,Ewerthon,Brazil
25917,César Sánchez,Spain
25918,Delio Toledo,Paraguay
25919,Gabriel Milito,Argentina
25920,José María Movilla,Spain
25921,Cani,Spain
25922,Leonardo Ponzio,Argentina
25923,Júlio Baptista,Brazil
25924,Guti,Spain
25925,Gabri,Spain
25926,Roberto Carlos,Brazil
25927,Xisco Nadal,Spain
25928,Ronaldo,Brazil
25929,Roger García,Spain
25930,Robinho,Brazil
25931,Gonzalo Rodríguez,Argentina
25932,Pablo García,Uruguay
25933,Juan Manuel Peña,Bolivia
25934,Juan Román Riquelme,Argentina
25935,Rodolfo Arruabarrena,Argentina
25936,Sebastián Viera,Uruguay
25937,Javi Venta,Spain
25938,Juan Pablo Sorín,Argentina
25939,Josico,Spain
25940,José Marí,Spain
25941,Luciano Figueroa,Argentina
25942,Kepa Blanco,Spain
25943,Luís Fabiano,Brazil
25944,Nenad Mirosavljević,Serbia
25945,Manolo Pérez,Spain
25946,Andrés Palop,Spain
25947,Fabián Estoyanoff,Uruguay
25948,Jose Martí,Spain
25949,Santiago Ezquerro,Spain
25950,Aitor Ocio,Spain
25951,Mário Silva,Portugal
25952,Ivica Dragutinovic,Serbia
25953,Armando Riveiro,Spain
25954,Enzo Maresca,Italy
25955,Jonathan Sesma,Spain
25956,David Castedo,Spain
25957,Andrés Fleurquin,Uruguay
25958,Jordi López,Spain
25959,Alejandro Varela,Spain
25960,Frédéric Kanouté,Mali
25961,Ramón de Quintana,Spain
25962,Javier Saviola,Argentina
25963,José de la Cuesta,Colombia
25964,Matías Pavoni,Argentina
25965,Roberto Suárez,Spain
25966,Oli,Spain
25967,Enrique Ortiz,Spain
25968,Javi Guerrero,Spain
25969,Sergio,Spain
25970,Rubén Navarro,Spain
25971,Esteban,Spain
25972,Élton Giovanni,Brazil
25973,Matías Lequi,Argentina
25974,Franco Costanzo,Argentina
25975,Blagoy Georgiev,Bulgaria
25976,Diego Placente,Argentina
25977,Jandro,Spain
25978,Iriney Santos,Brazil
25979,Edu Alonso,Spain
25980,Fabián Canobbio,Uruguay
25981,Santiago Carpintero,Spain
25982,Antonio Núñez,Spain
25983,Josu Sarriegi,Spain
25984,Ángel López,Spain
25985,David Coromina,Spain
25986,Borja Oubiña,Spain
25987,Rodolfo Bodipo,Equatorial Guinea
25988,Fernando Baiano,Brazil
25989,Tuni,Spain
25990,Alejandro Campano,Spain
25991,Eduardo Tuzzio,Argentina
25992,José Nunes,Portugal
25993,Yoshito Ōkubo,Japan
25994,David Cortés,Spain
25995,Juan Arango,Venezuela (Bolivarian Republic)
25996,Cristiano Doni,Italy
25997,Jonás Gutiérrez,Argentina
25998,Javier Farinós,Spain
25999,Jonathan Aspas,Spain
26000,Héctor Font,Spain
26001,Jesús Perera,Spain
26002,Javad Nekounam,"Iran, Islamic Republic of"
26003,Gustavo López,Argentina
26004,Carlos Cuéllar,Spain
26005,José Manuel Pinto,Spain
26006,Javi Flaño,Spain
26007,Pablo Contreras,Chile
26008,George Lucas,Brazil
26009,Roberto Soldado,Spain
26010,Hugo Viana,Portugal
26011,Miguel Angulo,Spain
26012,David Navarro,Spain
26013,Antonio Puerta,Spain
26014,Edu Gaspar,Brazil
26015,Renato,Brazil
26016,Roberto Ayala,Argentina
26017,Javi Navarro,Spain
26018,Julien Escudé,France
26019,Emerson,Brazil
26020,Ángel Lafita,Spain
26021,Mahamadou Diarra,Mali
26022,Carlos Diogo,Uruguay
26023,Juanfran,Spain
26024,Pablo Aimar,Argentina
26025,Jorge López,Spain
26026,Miguel Pallardó,Spain
26027,Gaizka Bergara,Spain
26028,Fernando Amorebieta,Venezuela (Bolivarian Republic)
26029,Dani Aranzubia,Spain
26030,Murillo García,Spain
26031,Andoni Iraola,Spain
26032,Unai Expósito,Spain
26033,Javier Casas,Spain
26034,Igor Gabilondo,Spain
26035,Fran Yeste,Spain
26036,Fernando Gago,Argentina
26037,Carlos Merino,Spain
26038,Tobias Grahn,Sweden
26039,Antonio Pinilla,Spain
26040,Aníbal Matellán,Argentina
26041,Rubén Pérez,Spain
26042,José Calvo,Argentina
26043,David Generelo,Spain
26044,César Navas,Spain
26045,David Cuéllar,Spain
26046,Marco Ortega,Spain
26047,Ángel Morales,Spain
26048,Sebastien Chabaud,France
26049,Irurzun,Spain
26050,Javi Portillo,Spain
26053,Ángel Vivar Dorado,Spain
26054,Gheorghe Craioveanu,Romania
26055,Riki,Spain
26056,David Cubillo,Spain
26057,Mariano Pernía,Spain
26058,David Belenguer,Spain
26059,Luis García,Spain
26060,Diego Rivas,Spain
26061,Mario Cotelo,Spain
26062,Rubén Pulido,Spain
26064,Antonio Tomás,Spain
26065,David Aganzo,Spain
26066,Juanjo Expósito,Spain
26067,Oriol Lozano,Spain
26068,Rubén González,Spain
26069,Luis Fernández,Spain
26070,Toño,Spain
26071,Vitolo,Spain
26072,Cristian Álvarez,Argentina
26073,Gonzalo Colsa,Spain
26074,Nikola Žigić,Serbia
26075,Cheli,Spain
26076,Dani Bautista,Spain
26077,Jesús Vázquez,Spain
26078,Aitor Tornavaca,Spain
26079,Javier López Vallejo,Spain
26080,Rafa Barber,Spain
26081,Mario Abrante,Spain
26082,Juan Merino,Spain
26083,Florent Sinama-Pongolle,France
26084,Iñaki Lafuente,Spain
26085,Luis Prieto,Spain
26086,Pablo Orbaiz,Spain
26087,Carlos Gurpegi,Spain
26088,Jesús Lacruz,Spain
26100,Ustaritz,Spain
26101,Joseba Garmendia,Spain
26102,Coro,Spain
26103,Carlos Kameni,Cameroon
26104,Frédson,Brazil
26105,Iván de la Peña,Spain
26106,Armando Sa,Mozambique
26107,Alberto Lopo,Spain
26108,Eduardo Costa,Brazil
26109,Raúl Tamudo,Spain
26110,Dani Jarque,Spain
26115,Luis Cuartero,Spain
26116,José García Calvo,Spain
26117,Pablo Ibáñez,Spain
26118,Antonio López,Spain
26119,Leo Franco,Argentina
26120,Luis Perea,Colombia
26121,Ariel Ibagaza,Spain
26122,Luciano Galletti,Argentina
26123,Peter Luccin,France
26124,Maxi Rodríguez,Argentina
26126,Daniel N'Gom Kome,Cameroon
26127,Asen,Spain
26128,Yordi Gonzalez,Spain
26129,Javier Sánchez Broto,Spain
26130,José Manuel Yanguas,Spain
26131,Nano,Spain
26135,Alex Fernandez,Spain
26136,Mauricio Pochettino,Argentina
26137,Óscar Serrano,Spain
26138,David García,Spain
26139,Ito,Spain
26140,Hugo Ibarra,Argentina
26143,Hoalid Regragui,Morocco
26144,Javier Casquero,Spain
26145,Neru,Spain
26146,Dudú Aouate,Israel
26147,Ayoze Díaz,Spain
26148,José Moratón,Spain
26149,Stéphane Dalmat,France
